,lon,lat,,1
242,-94.846681,39.7674578,,302
243,-78.6381787,35.7795897,,316
244,139.6380256,35.4437078,,325
245,-94.8327618,43.0391346,,326
246,-78.8783689,42.8864468,,332
247,-86.2999689,32.3668052,,336
248,-1.9168247,50.7113496,,337
256,-84.5037164,38.0405837,,338
261,-1.1743197,52.3555177,,339
263,-96.7884099,32.7861538,,340
264,121.0851097,14.5763768,,341
265,18.49041,-22.95764,,350
270,106.8650395,-6.17511,,351
273,127.8055832,26.3344266,,355
279,-85.6023643,44.3148443,,359
282,-79.2468626,43.1593745,,361
283,-85.6023643,44.3148443,,373
287,37.6172999,55.755826,,374
289,77.6781015,12.9727456,,381
290,-97.7430608,30.267153,,387
295,-70.7625532,43.0717552,,388
299,102.2776838,6.1167855,,390
309,-87.6297982,41.8781136,,391
311,-95.1934035,29.5074906,,393
312,28.2292712,-25.7478676,,396
314,-122.6764815,45.5230622,,397
315,-95.712891,37.09024,,398
316,9.501785,56.26392,,399
321,-81.6943605,41.49932,,400
323,5.291266,52.132633,,407
326,-80.6495194,41.0997803,,409
329,-0.1277583,51.5073509,,413
330,25.9231471,-24.6282079,,414
332,106.8650395,-6.17511,,417
333,106.8650395,-6.17511,,421
334,-95.971261,36.153315,,422
339,-73.9712488,40.7830603,,427
340,-74.0059728,40.7127753,,433
341,-84.5037164,38.0405837,,437
343,-0.372882,50.81787,,439
344,25.48583,42.733883,,441
345,103.819836,1.352083,,444
346,-77.0909809,38.8816208,,445
352,-2.050526,52.449845,,451
356,-118.2436849,34.0522342,,452
358,-3.435973,55.378051,,455
364,127.1138939,36.815129,,458
366,-1.778586,50.735777,,462
370,3.0175712,39.6952629,,466
375,-72.7420151,41.7620842,,467
376,-61.9928026,45.6226605,,469
381,28.0888578,-25.864029,,470
382,-47.8821658,-15.7942287,,472
391,-1.8724834,52.4586537,,474
395,55.153889,25.175556,,477
396,-95.186626,30.0508401,,482
398,69.345116,30.375321,,489
401,-0.1277583,51.5073509,,491
404,-3.188267,55.953252,,499
410,15.2551187,54.5259614,,501
418,18.4240553,-33.9248685,,517
423,-2.119287,53.258663,,521
424,-93.2650108,44.977753,,523
427,4.469936,50.503887,,525
429,-80.8431267,35.2270869,,527
432,-77.0909809,38.8816208,,528
433,-95.712891,37.09024,,529
437,-79.35143,43.6673447,,531
438,-6.2603097,53.3498053,,532
439,85.8245398,20.2960587,,533
440,-84.5039697,38.0306511,,538
444,-109.9922697,40.3004822,,539
445,-7.2447879,52.6541454,,543
452,-2.0727839,53.7190281,,545
453,10.451526,51.165691,,548
454,-93.6540066,42.0403568,,552
455,-75.1298939,40.3101063,,553
456,37.906193,-0.023559,,557
457,-3.542752,54.643569,,558
464,74.1005044,32.5730725,,559
466,47.481766,29.31166,,560
467,-74.4056612,40.0583238,,562
468,73.8567437,18.5204303,,564
471,-2.9436644,53.3976041,,565
474,-3.068743,53.558271,,569
475,-1.1743197,52.3555177,,574
478,3.2246995,51.209348,,575
480,1.297355,52.6308859,,579
482,-79.0192997,35.7595731,,581
484,-119.7725868,36.7468422,,583
